Step;RediscrTime/s;RANDOM-phi1-PHI-phi2;0-60-55-45;1-0-30-45;SumRediscrVolume=8e+06
306;143.914;0;5.32536e+06;2.67464e+06;
307;144.383;0;5.31928e+06;2.68072e+06;
308;144.852;0;5.29423e+06;2.70577e+06;
309;145.321;0;5.26626e+06;2.73374e+06;
310;145.789;0;5.23829e+06;2.76171e+06;
311;146.258;0;5.21073e+06;2.78927e+06;
312;146.727;0;5.18343e+06;2.81657e+06;
313;147.196;0;5.15613e+06;2.84387e+06;
314;147.665;0;5.13414e+06;2.86586e+06;
315;148.133;0;5.12082e+06;2.87918e+06;
316;148.602;0;5.1075e+06;2.8925e+06;
317;149.071;0;5.09355e+06;2.90645e+06;
318;149.54;0;5.07558e+06;2.92442e+06;
319;150.008;0;5.05761e+06;2.94239e+06;
320;150.477;0;5.03963e+06;2.96037e+06;
321;150.946;0;5.00944e+06;2.99056e+06;
322;151.415;0;4.97777e+06;3.02223e+06;
323;151.884;0;4.94611e+06;3.05389e+06;
324;152.352;0;4.9239e+06;3.0761e+06;
325;152.821;0;4.90679e+06;3.09321e+06;
326;153.29;0;4.88968e+06;3.11032e+06;
327;153.759;0;4.86964e+06;3.13036e+06;
328;154.227;0;4.84533e+06;3.15467e+06;
329;154.696;0;4.82101e+06;3.17899e+06;
330;155.165;0;4.79669e+06;3.20331e+06;
331;155.634;0;4.77237e+06;3.22763e+06;
332;156.103;0;4.74805e+06;3.25195e+06;
333;156.571;0;4.72373e+06;3.27627e+06;
334;157.04;0;4.7029e+06;3.2971e+06;
335;157.509;0;4.68237e+06;3.31763e+06;
336;157.978;0;4.66183e+06;3.33817e+06;
337;158.446;0;4.64957e+06;3.35043e+06;
338;158.915;0;4.64129e+06;3.35871e+06;
339;159.384;0;4.633e+06;3.367e+06;
340;159.853;0;4.61265e+06;3.38735e+06;
341;160.322;0;4.57641e+06;3.42359e+06;
342;160.79;0;4.54017e+06;3.45983e+06;
343;161.259;0;4.50634e+06;3.49366e+06;
344;161.728;0;4.48286e+06;3.51714e+06;
345;162.197;0;4.45938e+06;3.54062e+06;
346;162.665;0;4.43591e+06;3.56409e+06;
347;163.134;0;4.41639e+06;3.58361e+06;
348;163.603;0;4.3971e+06;3.6029e+06;
349;164.072;0;4.37781e+06;3.62219e+06;
350;164.541;0;4.35852e+06;3.64148e+06;
351;165.009;0;4.33923e+06;3.66077e+06;
352;165.478;0;4.31994e+06;3.68006e+06;
353;165.947;0;4.29711e+06;3.70289e+06;
354;166.416;0;4.27006e+06;3.72994e+06;
355;166.884;0;4.24302e+06;3.75698e+06;
356;167.353;0;4.21915e+06;3.78085e+06;
357;167.822;0;4.20694e+06;3.79306e+06;
358;168.291;0;4.19473e+06;3.80527e+06;
359;168.76;0;4.18252e+06;3.81748e+06;
360;169.228;0;4.16069e+06;3.83931e+06;
361;169.697;0;4.13856e+06;3.86144e+06;
362;170.166;0;4.11644e+06;3.88356e+06;
363;170.635;0;4.08714e+06;3.91286e+06;
