Step;RediscrTime/s;SumRediscrVolume--8e+06--;X;lnt;ln(-ln(1-X))
309;145.321;2.73374e+06;0.341718;4.97894;-0.871983
310;145.789;2.76171e+06;0.345214;4.98216;-0.859328
311;146.258;2.78927e+06;0.348658;4.98537;-0.84695
312;146.727;2.81657e+06;0.352071;4.98857;-0.83477
313;147.196;2.84387e+06;0.355484;4.99176;-0.822674
314;147.665;2.86586e+06;0.358233;4.99494;-0.812991
315;148.133;2.87918e+06;0.359898;4.99811;-0.807151
316;148.602;2.8925e+06;0.361563;5.00127;-0.80133
317;149.071;2.90645e+06;0.363307;5.00442;-0.795253
318;149.54;2.92442e+06;0.365553;5.00756;-0.787454
319;150.008;2.94239e+06;0.367799;5.01069;-0.779689
320;150.477;2.96037e+06;0.370046;5.01381;-0.771957
321;150.946;2.99056e+06;0.37382;5.01692;-0.759035
322;151.415;3.02223e+06;0.377778;5.02002;-0.745581
323;151.884;3.05389e+06;0.381736;5.02311;-0.73222
324;152.352;3.0761e+06;0.384513;5.0262;-0.722903
325;152.821;3.09321e+06;0.386652;5.02927;-0.715757
326;153.29;3.11032e+06;0.38879;5.03233;-0.708637
327;153.759;3.13036e+06;0.391295;5.03538;-0.700331
328;154.227;3.15467e+06;0.394334;5.03843;-0.690297
329;154.696;3.17899e+06;0.397374;5.04146;-0.680313
330;155.165;3.20331e+06;0.400414;5.04449;-0.670377
331;155.634;3.22763e+06;0.403454;5.04751;-0.66049
332;156.103;3.25195e+06;0.406493;5.05051;-0.650649
333;156.571;3.27627e+06;0.409533;5.05351;-0.640855
334;157.04;3.2971e+06;0.412138;5.0565;-0.632498
335;157.509;3.31763e+06;0.414704;5.05948;-0.624297
336;157.978;3.33817e+06;0.417271;5.06245;-0.616126
337;158.446;3.35043e+06;0.418803;5.06542;-0.611261
338;158.915;3.35871e+06;0.419839;5.06837;-0.60798
339;159.384;3.367e+06;0.420875;5.07132;-0.604704
340;159.853;3.38735e+06;0.423419;5.07425;-0.596675
341;160.322;3.42359e+06;0.427949;5.07718;-0.582452
342;160.79;3.45983e+06;0.432479;5.0801;-0.568319
343;161.259;3.49366e+06;0.436708;5.08301;-0.5552
344;161.728;3.51714e+06;0.439643;5.08592;-0.546141
345;162.197;3.54062e+06;0.442577;5.08881;-0.537116
346;162.665;3.56409e+06;0.445512;5.0917;-0.528125
347;163.134;3.58361e+06;0.447952;5.09457;-0.520675
348;163.603;3.6029e+06;0.450363;5.09744;-0.513334
349;164.072;3.62219e+06;0.452774;5.1003;-0.506016
350;164.541;3.64148e+06;0.455185;5.10316;-0.498718
351;165.009;3.66077e+06;0.457596;5.106;-0.491441
352;165.478;3.68006e+06;0.460007;5.10884;-0.484185
353;165.947;3.70289e+06;0.462862;5.11167;-0.475619
354;166.416;3.72994e+06;0.466242;5.11449;-0.465512
355;166.884;3.75698e+06;0.469623;5.1173;-0.455443
356;167.353;3.78085e+06;0.472606;5.12011;-0.446588
357;167.822;3.79306e+06;0.474132;5.1229;-0.442068
358;168.291;3.80527e+06;0.475658;5.12569;-0.437556
359;168.76;3.81748e+06;0.477185;5.12847;-0.433052
360;169.228;3.83931e+06;0.479914;5.13125;-0.425013
361;169.697;3.86144e+06;0.48268;5.13401;-0.41689
362;170.166;3.88356e+06;0.485446;5.13677;-0.40879
363;170.635;3.91286e+06;0.489107;5.13952;-0.398099
364;171.103;3.94484e+06;0.493104;5.14227;-0.386471
365;171.572;3.97682e+06;0.497102;5.145;-0.374886
366;172.041;4.00178e+06;0.500223;5.14773;-0.36587
367;172.51;4.01927e+06;0.502409;5.15045;-0.359569
368;172.979;4.03676e+06;0.504595;5.15317;-0.353281
369;173.447;4.05341e+06;0.506677;5.15587;-0.347304
370;173.916;4.06743e+06;0.508429;5.15857;-0.342281
371;174.385;4.08145e+06;0.510181;5.16126;-0.337266
372;174.854;4.09546e+06;0.511933;5.16395;-0.332258
373;175.322;4.131e+06;0.516374;5.16663;-0.319593
374;175.791;4.1666e+06;0.520825;5.1693;-0.306948
375;176.26;4.2022e+06;0.525275;5.17196;-0.294345
376;176.729;4.22593e+06;0.528242;5.17462;-0.285965
377;177.197;4.24578e+06;0.530723;5.17726;-0.278972
378;177.666;4.26563e+06;0.533203;5.17991;-0.27199
379;178.135;4.2869e+06;0.535862;5.18254;-0.264521
380;178.604;4.30954e+06;0.538692;5.18517;-0.256584
381;179.073;4.33218e+06;0.541522;5.18779;-0.248662
382;179.541;4.35482e+06;0.544352;5.19041;-0.240754
383;180.01;4.37746e+06;0.547182;5.19301;-0.232859
384;180.479;4.4001e+06;0.550012;5.19561;-0.224977
385;180.948;4.42273e+06;0.552842;5.19821;-0.217108
386;181.416;4.44524e+06;0.555655;5.2008;-0.209297
387;181.885;4.46775e+06;0.558468;5.20338;-0.201498
388;182.354;4.49025e+06;0.561282;5.20595;-0.193709
389;182.823;4.50238e+06;0.562797;5.20852;-0.189518
390;183.292;4.51156e+06;0.563945;5.21108;-0.186347
391;183.76;4.52074e+06;0.565092;5.21363;-0.183177
392;184.229;4.54133e+06;0.567666;5.21618;-0.176072
393;184.698;4.57181e+06;0.571477;5.21872;-0.165571
394;185.167;4.6023e+06;0.575287;5.22126;-0.155086
395;185.635;4.63155e+06;0.578944;5.22378;-0.145038
396;186.104;4.65784e+06;0.58223;5.22631;-0.136022
397;186.573;4.68412e+06;0.585515;5.22882;-0.127017
398;187.042;4.70968e+06;0.58871;5.23133;-0.118269
399;187.511;4.72115e+06;0.590144;5.23384;-0.114346
400;187.979;4.73262e+06;0.591578;5.23633;-0.110425
401;188.448;4.74409e+06;0.593011;5.23882;-0.106505
402;188.917;4.76486e+06;0.595607;5.24131;-0.0994129
403;189.386;4.78787e+06;0.598484;5.24379;-0.0915578
404;189.854;4.81089e+06;0.601361;5.24626;-0.0837082
405;190.323;4.83795e+06;0.604744;5.24872;-0.0744843
406;190.792;4.86818e+06;0.608522;5.25118;-0.064191
407;191.261;4.8984e+06;0.6123;5.25364;-0.0539043
408;191.73;4.92355e+06;0.615444;5.25609;-0.0453459
409;192.198;4.93786e+06;0.617232;5.25853;-0.0404816
410;192.667;4.95216e+06;0.61902;5.26096;-0.0356181
411;193.136;4.9672e+06;0.6209;5.26339;-0.0305042
412;193.605;4.99141e+06;0.623926;5.26582;-0.022277
413;194.073;5.01561e+06;0.626952;5.26824;-0.0140514
414;194.542;5.03982e+06;0.629977;5.27065;-0.00582665
415;195.011;5.06402e+06;0.633003;5.27306;0.00239767
416;195.48;5.08823e+06;0.636028;5.27546;0.0106221
417;195.949;5.11243e+06;0.639054;5.27785;0.0188474
418;196.417;5.133e+06;0.641625;5.28024;0.0258397
419;196.886;5.15103e+06;0.643879;5.28263;0.0319672
420;197.355;5.16905e+06;0.646132;5.285;0.0380959
421;197.824;5.18434e+06;0.648043;5.28738;0.0432957
422;198.292;5.19442e+06;0.649303;5.28974;0.0467231
423;198.761;5.2045e+06;0.650562;5.2921;0.0501512
424;199.23;5.21672e+06;0.65209;5.29446;0.0543108
425;199.699;5.24815e+06;0.656018;5.29681;0.065007
426;200.168;5.27957e+06;0.659946;5.29915;0.0757108
427;200.636;5.31099e+06;0.663874;5.30149;0.0864236
428;201.105;5.33329e+06;0.666661;5.30383;0.0940321
429;201.574;5.35406e+06;0.669258;5.30616;0.101127
430;202.043;5.37484e+06;0.671855;5.30848;0.108227
431;202.511;5.39403e+06;0.674254;5.3108;0.11479
432;202.98;5.41223e+06;0.676529;5.31311;0.121018
433;203.449;5.43042e+06;0.678803;5.31542;0.12725
434;203.918;5.44862e+06;0.681077;5.31772;0.133487
435;204.387;5.46681e+06;0.683352;5.32001;0.13973
436;204.855;5.48501e+06;0.685626;5.3223;0.145979
437;205.324;5.50389e+06;0.687987;5.32459;0.152471
438;205.793;5.52754e+06;0.690942;5.32687;0.160611
439;206.262;5.55119e+06;0.693898;5.32915;0.168762
440;206.73;5.57483e+06;0.696854;5.33142;0.176925
441;207.199;5.58696e+06;0.69837;5.33368;0.181116
442;207.668;5.59756e+06;0.699695;5.33594;0.184782
443;208.137;5.60816e+06;0.70102;5.3382;0.188451
444;208.606;5.62541e+06;0.703176;5.34044;0.194428
445;209.074;5.64641e+06;0.705801;5.34269;0.201714
446;209.543;5.66741e+06;0.708426;5.34493;0.209012
447;210.012;5.69035e+06;0.711294;5.34716;0.217002
448;210.481;5.71627e+06;0.714534;5.34939;0.226045
449;210.949;5.74219e+06;0.717774;5.35162;0.235109
450;211.418;5.76627e+06;0.720783;5.35384;0.243548
451;211.887;5.7801e+06;0.722513;5.35605;0.248406
452;212.356;5.79394e+06;0.724242;5.35826;0.253271
