Time=468.308s,NGrains=947,Vref=8e+06,Mean=8447.73,Median=7828,StdDev=3499.87,Min=-1,Max=1e+36
Rank;Volume/Cells;IncubationTime/s;Ideal(RANDOMis0);ln(Vi/Vav);CumSumi/Vref*100%
0;7529;0;2;-0.115135;29.5957
0;7533;0;2;-0.114604;29.6898
0;7541;0;2;-0.113543;29.7841
0;7552;0;2;-0.112085;29.8785
0;7553;0;2;-0.111953;29.9729
0;7554;0;2;-0.111821;30.0673
0;7557;0;2;-0.111423;30.1618
0;7560;0;2;-0.111027;30.2563
0;7560;0;2;-0.111027;30.3508
0;7560;0;2;-0.111027;30.4453
0;7563;0;2;-0.11063;30.5398
0;7567;0;2;-0.110101;30.6344
0;7575;0;2;-0.109044;30.7291
0;7576;0;2;-0.108912;30.8238
0;7578;0;2;-0.108648;30.9185
0;7584;0;2;-0.107857;31.0133
0;7595;0;2;-0.106408;31.1082
0;7605;0;2;-0.105092;31.2033
0;7606;0;2;-0.10496;31.2984
0;7606;0;2;-0.10496;31.3935
0;7613;0;2;-0.10404;31.4886
0;7633;0;2;-0.101417;31.584
0;7654;0;2;-0.0986693;31.6797
0;7667;0;2;-0.0969723;31.7756
0;7668;0;2;-0.0968419;31.8714
0;7671;0;2;-0.0964507;31.9673
0;7674;0;2;-0.0960597;32.0632
0;7683;0;2;-0.0948876;32.1593
0;7698;0;2;-0.0929372;32.2555
0;7707;0;2;-0.0917687;32.3518
0;7710;0;2;-0.0913795;32.4482
0;7722;0;2;-0.0898243;32.5447
0;7725;0;2;-0.0894359;32.6413
0;7730;0;2;-0.0887889;32.7379
0;7739;0;2;-0.0876252;32.8346
0;7751;0;2;-0.0860759;32.9315
0;7757;0;2;-0.0853021;33.0285
0;7758;0;2;-0.0851732;33.1255
0;7771;0;2;-0.0834989;33.2226
0;7790;0;2;-0.0810569;33.32
0;7794;0;2;-0.0805435;33.4174
0;7807;0;2;-0.078877;33.515
0;7813;0;2;-0.0781087;33.6127
0;7816;0;2;-0.0777248;33.7103
0;7825;0;2;-0.076574;33.8082
0;7828;0;2;-0.0761907;33.906
0;7837;0;2;-0.0750416;34.004
0;7845;0;2;-0.0740213;34.102
0;7857;0;2;-0.0724929;34.2002
0;7870;0;2;-0.0708397;34.2986
0;7870;0;2;-0.0708397;34.397
0;7871;0;2;-0.0707126;34.4954
0;7895;0;2;-0.0676681;34.5941
0;7895;0;2;-0.0676681;34.6928
0;7898;0;2;-0.0672882;34.7915
0;7900;0;2;-0.067035;34.8902
0;7904;0;2;-0.0665288;34.989
0;7906;0;2;-0.0662758;35.0879
0;7907;0;2;-0.0661493;35.1867
0;7920;0;2;-0.0645065;35.2857
0;7931;0;2;-0.0631186;35.3848
0;7933;0;2;-0.0628665;35.484
0;7940;0;2;-0.0619845;35.5832
0;7962;0;2;-0.0592175;35.6828
0;7967;0;2;-0.0585897;35.7824
0;7971;0;2;-0.0580878;35.882
0;7995;0;2;-0.0550814;35.9819
0;7999;0;2;-0.0545812;36.0819
0;8002;0;2;-0.0542062;36.182
0;8016;0;2;-0.0524582;36.2822
0;8035;0;2;-0.0500907;36.3826
0;8059;0;2;-0.0471082;36.4833
0;8066;0;2;-0.04624;36.5842
0;8069;0;2;-0.0458682;36.685
0;8080;0;2;-0.0445059;36.786
0;8083;0;2;-0.0441346;36.8871
0;8111;0;2;-0.0406766;36.9884
0;8120;0;2;-0.0395676;37.0899
0;8133;0;2;-0.0379679;37.1916
0;8156;0;2;-0.0351439;37.2935
0;8166;0;2;-0.0339185;37.3956
0;8166;0;2;-0.0339185;37.4977
0;8197;0;2;-0.0301295;37.6002
0;8197;0;2;-0.0301295;37.7026
0;8207;0;2;-0.0289103;37.8052
0;8221;0;2;-0.0272059;37.908
0;8224;0;2;-0.026841;38.0108
0;8242;0;2;-0.0246547;38.1138
0;8273;0;2;-0.0209005;38.2172
0;8293;0;2;-0.0184859;38.3209
0;8306;0;2;-0.0169196;38.4247
0;8310;0;2;-0.0164381;38.5286
0;8351;0;2;-0.0115164;38.633
0;8364;0;2;-0.00996095;38.7375
0;8367;0;2;-0.00960233;38.8421
0;8387;0;2;-0.00721484;38.9469
0;8410;0;2;-0.00447625;39.0521
0;8433;0;2;-0.00174515;39.1575
0;8433;0;2;-0.00174515;39.2629
0;8465;0;2;0.00204229;39.3687
0;8471;0;2;0.00275084;39.4746
0;8475;0;2;0.00322293;39.5805
0;8476;0;2;0.00334091;39.6865
0;8479;0;2;0.00369479;39.7925
0;8485;0;2;0.00440217;39.8985
0;8520;0;2;0.00851861;40.005
0;8541;0;2;0.0109804;40.1118
0;8556;0;2;0.0127351;40.2187
0;8576;0;2;0.0150699;40.3259
0;8586;0;2;0.0162352;40.4333
0;8586;0;2;0.0162352;40.5406
0;8596;0;2;0.0173993;40.648
0;8604;0;2;0.0183295;40.7556
0;8624;0;2;0.0206513;40.8634
0;8634;0;2;0.0218102;40.9713
0;8638;0;2;0.0222733;41.0793
0;8638;0;2;0.0222733;41.1873
0;8676;0;2;0.0266629;41.2957
0;8678;0;2;0.0268934;41.4042
0;8678;0;2;0.0268934;41.5127
0;8695;0;2;0.0288504;41.6213
0;8696;0;2;0.0289654;41.73
0;8700;0;2;0.0294253;41.8388
0;8704;0;2;0.029885;41.9476
0;8708;0;2;0.0303444;42.0564
0;8732;0;2;0.0330967;42.1656
0;8737;0;2;0.0336692;42.2748
0;8739;0;2;0.033898;42.3841
0;8753;0;2;0.0354988;42.4935
0;8762;0;2;0.0365265;42.603
0;8788;0;2;0.0394894;42.7128
0;8789;0;2;0.0396032;42.8227
0;8789;0;2;0.0396032;42.9326
0;8823;0;2;0.0434642;43.0429
0;8839;0;2;0.045276;43.1533
0;8868;0;2;0.0485516;43.2642
0;8872;0;2;0.0490025;43.3751
0;8875;0;2;0.0493406;43.486
0;8877;0;2;0.0495659;43.597
0;8879;0;2;0.0497912;43.708
0;8893;0;2;0.0513667;43.8191
0;8893;0;2;0.0513667;43.9303
0;8908;0;2;0.053052;44.0416
0;8919;0;2;0.0542861;44.1531
0;8920;0;2;0.0543982;44.2646
0;8921;0;2;0.0545103;44.3761
0;8937;0;2;0.0563022;44.4879
0;8956;0;2;0.058426;44.5998
0;8957;0;2;0.0585376;44.7118
0;8959;0;2;0.0587609;44.8238
0;8971;0;2;0.0600994;44.9359
0;8991;0;2;0.0623263;45.0483
0;8996;0;2;0.0628823;45.1607
0;9001;0;2;0.063438;45.2732
0;9008;0;2;0.0642153;45.3858
0;9011;0;2;0.0645483;45.4985
0;9024;0;2;0.06599;45.6113
0;9029;0;2;0.0665439;45.7242
0;9029;0;2;0.0665439;45.837
0;9032;0;2;0.0668761;45.9499
0;9035;0;2;0.0672082;46.0628
0;9042;0;2;0.0679827;46.1759
0;9049;0;2;0.0687565;46.289
0;9062;0;2;0.0701921;46.4023
0;9068;0;2;0.070854;46.5156
0;9091;0;2;0.0733872;46.6292
0;9097;0;2;0.074047;46.743
0;9100;0;2;0.0743767;46.8567
0;9101;0;2;0.0744866;46.9705
0;9142;0;2;0.0789815;47.0847
0;9172;0;2;0.0822576;47.1994
0;9174;0;2;0.0824757;47.3141
0;9215;0;2;0.0869349;47.4293
0;9218;0;2;0.0872604;47.5445
0;9227;0;2;0.0882362;47.6598
0;9234;0;2;0.0889946;47.7752
0;9237;0;2;0.0893194;47.8907
0;9245;0;2;0.0901851;48.0063
0;9248;0;2;0.0905096;48.1219
0;9273;0;2;0.0932092;48.2378
0;9273;0;2;0.0932092;48.3537
0;9275;0;2;0.0934249;48.4696
0;9280;0;2;0.0939638;48.5856
0;9286;0;2;0.0946102;48.7017
0;9292;0;2;0.0952561;48.8179
0;9293;0;2;0.0953637;48.934
0;9303;0;2;0.0964392;49.0503
0;9319;0;2;0.0981576;49.1668
0;9321;0;2;0.0983722;49.2833
0;9329;0;2;0.0992301;49.3999
0;9341;0;2;0.100516;49.5167
0;9346;0;2;0.101051;49.6335
0;9349;0;2;0.101372;49.7504
0;9353;0;2;0.101799;49.8673
0;9371;0;2;0.103722;49.9844
0;9378;0;2;0.104469;50.1016
0;9382;0;2;0.104895;50.2189
0;9402;0;2;0.107025;50.3364
0;9414;0;2;0.1083;50.4541
0;9416;0;2;0.108513;50.5718
0;9420;0;2;0.108937;50.6896
0;9430;0;2;0.109998;50.8074
0;9448;0;2;0.111905;50.9255
0;9472;0;2;0.114442;51.044
0;9490;0;2;0.116341;51.1626
0;9493;0;2;0.116657;51.2812
0;9520;0;2;0.119497;51.4002
0;9535;0;2;0.121072;51.5194
0;9543;0;2;0.12191;51.6387
0;9553;0;2;0.122958;51.7581
0;9571;0;2;0.12484;51.8778
0;9572;0;2;0.124944;51.9974
